step_idx,timestamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,dvl_vel_x,dvl_vel_y,dvl_vel_z,dvl_alt,imu_orient_x,imu_orient_y,imu_orient_z,imu_orient_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
0,0.000,-22.224,-1.380,7.362,-0.000,0.001,0.069,0.998,0.000,-0.000,-0.112,12.742,-0.000,0.001,0.069,0.998,0.000,-0.000,-0.000,0.022,0.005,-9.810
1,1.136,-22.224,-1.380,7.489,-0.000,0.001,0.069,0.998,0.000,-0.000,-0.112,12.629,-0.000,0.001,0.069,0.998,0.000,0.000,-0.000,0.022,0.005,-9.810
2,1.838,-22.145,-1.371,7.567,-0.016,0.044,0.070,0.996,-0.237,-0.003,-0.112,12.480,-0.016,0.044,0.070,0.996,0.037,0.180,0.002,1.192,0.251,-9.758
3,6.183,-19.932,-1.244,6.574,-0.010,0.050,-0.015,0.999,-0.629,0.021,0.253,15.239,-0.010,0.050,-0.015,0.999,0.002,0.001,-0.023,0.980,0.198,-9.764
4,7.319,-19.246,-1.254,6.213,-0.009,0.055,-0.028,0.998,-0.637,0.020,0.252,15.240,-0.009,0.055,-0.028,0.998,0.003,0.004,-0.023,1.066,0.198,-9.752
5,8.489,-18.455,-1.269,6.229,-0.009,-0.024,0.030,0.999,-0.710,-0.037,-0.265,10.779,-0.009,-0.024,0.030,0.999,0.016,-0.034,0.091,-0.543,0.220,-9.355
6,9.625,-17.735,-1.249,6.694,-0.011,0.057,0.057,0.997,-0.565,-0.039,-0.501,15.542,-0.011,0.057,0.057,0.997,-0.005,0.045,0.041,1.097,0.186,-9.711
7,10.461,-17.250,-1.213,7.027,-0.013,0.056,0.063,0.996,-0.531,-0.026,-0.419,13.718,-0.013,0.056,0.063,0.996,-0.002,-0.021,0.013,1.124,0.208,-9.831
8,11.196,-16.826,-1.172,7.191,-0.014,0.054,0.047,0.997,-0.571,-0.013,-0.214,13.801,-0.014,0.054,0.047,0.997,0.006,0.012,-0.051,1.181,0.218,-10.021
9,12.332,-16.095,-1.109,7.164,-0.012,0.065,0.020,0.998,-0.692,0.020,0.033,13.553,-0.012,0.065,0.020,0.998,0.005,0.012,-0.044,1.334,0.206,-9.891
